I'm 19.	J'ai 19 ans.
He is away on holiday.	Il est parti en vacances.
He is blinded by love.	Il est aveuglé par l'amour.
He is eager to please.	Il cherche à plaire.
He is good at cooking.	Il est bon cuisinier.
He is good at driving.	C'est un bon conducteur.
He is good at driving.	Il est bon conducteur.
He is good at singing.	Il est bon chanteur.
He is good at singing.	Il chante bien.
He is in the bathroom.	Il est dans la salle de bain.
He is in the bathroom.	Il est aux toilettes.
He is just an amateur.	Il n'est qu'un amateur.
He is lost in thought.	Il est perdu dans ses pensées.
He is mad about music.	C'est un fondu de musique.
He is mad about music.	C'est un fou de musique.
He is my close friend.	C'est un ami très proche.
He is my close friend.	C'est mon ami intime.
He is no ordinary man.	Ce n'est pas un homme ordinaire.
He is not always late.	Il n'est pas toujours en retard.
He is not an American.	Il n'est pas américain.
He is not kind to her.	Il n'est pas gentil avec elle.
He is not kind to her.	Il n'est pas gentil à son égard.
He is not what he was.	Il n'est plus ce qu'il était.
He is on another line.	Il est sur une autre ligne.
He is poor, but happy.	Il est pauvre, mais heureux.
He is said to be rich.	On dit qu'il est riche.
He is such a show off.	C'est un tel frimeur !
He is sure of success.	Il est sûr de réussir.
He is sure of success.	Il est sûr de son succès.
He is sure to succeed.	Il est sûr de réussir.
He is sure to succeed.	Il est sûr de son succès.
He is tall and strong.	Il est grand et fort.
He is the tallest boy.	C'est le garçon le plus grand.
He is unable to do it.	Il est incapable de le faire.
He is very kind to me.	Il est très gentil avec moi.
He is very mean to me.	Il est très méchant avec moi.
He is washing his car.	Il lave sa voiture.
He is washing the car.	Il est en train de laver la voiture.
He is watching TV now.	Maintenant il regarde la télé.
He is wearing glasses.	Il porte des lunettes.
He is writing a novel.	Il est en train d'écrire un roman.
He isn't happy at all.	Il n'est pas du tout satisfait.
He isn't happy at all.	Il n'est pas du tout content.
He's a fine young lad.	C'est un bon gars.
He's a notorious liar.	C'est un menteur notoire.
He's afraid of snakes.	Il a peur des serpents.
He's allergic to cats.	Il est allergique aux chats.
He's allergic to cats.	Il a une allergie aux chats.
He's an absolute fool.	Il est complètement fou.
He's an oceanographer.	Il est océanographe.
He's away on business.	Il est parti pour affaires.
He's away on vacation.	Il est absent en congés.
He's done this before.	Il l'a fait auparavant.
He's enjoying himself.	Il s'amuse.
He's gone into hiding.	Il est parti au maquis.
He's gone into hiding.	Il se planque.
He's gone into hiding.	Il se cache.
He's hungry for power.	Il a soif de pouvoir.
He's just buying time.	Il est juste en train de gagner du temps.
He's just kidding you.	Il se moque juste de toi.
He's kind of handsome.	Il est plutôt beau.
He's learning Chinese.	Il apprend le chinois.
He's my older brother.	C'est mon frère aîné.
He's not always happy.	Il n'est pas toujours heureux.
He's not in our group.	Il n'est pas dans notre groupe.
He's not in our group.	Il ne fait pas partie de notre groupe.
He's on his last legs.	Il est au bout de ses forces.
He's on his last legs.	Il est à bout de force.
He's our only suspect.	Il est notre unique suspect.
He's right behind you.	Il se trouve juste derrière vous.
He's right behind you.	Il se trouve juste derrière toi.
He's right behind you.	Il est juste derrière vous.
He's right behind you.	Il est juste derrière toi.
He's stronger than me.	Il est plus fort que moi.
He's such a cold fish.	Il est si distant.
He's such a great guy.	C'est un type tellement sympa !
He's the one I called.	C'est lui que j'ai appelé.
He's their only child.	C'est leur unique enfant.
He's very experienced.	Il a beaucoup d'expérience.
He's very intelligent.	Il est très intelligent.
He's washing your car.	Il lave votre voiture.
He's with his parents.	Il est avec ses parents.
He's young and single.	Il est jeune et célibataire.
I am an office worker.	J'ai un emploi de bureau.
I am folding my dress.	Je plie ma robe.
I am glad to help you.	Je suis content de t'aider.
I am glad to help you.	Je suis ravi de t'aider.
I am glad to help you.	Je suis contente de t'aider.
I am glad to help you.	Je suis ravie de t'aider.
I am glad to help you.	Je suis content de vous aider.
I am glad to help you.	Je suis ravie de vous aider.
I am glad to help you.	Je suis ravi de vous aider.
I am glad to help you.	Je suis contente de vous aider.
I am grateful to them.	Je leur suis reconnaissant.
I am harvesting wheat.	Je suis en train de récolter du blé.
I am here on business.	Je suis ici pour affaires.
I am in the classroom.	Je suis en salle de classe.
I am near the station.	Je me trouve près de la gare.
I am no match for him.	Je ne peux pas me comparer à lui.
I am not studying now.	En ce moment je n'étudie pas.
I am poor at swimming.	Je ne sais pas bien nager.
I am reading a letter.	Je lis une lettre.
I am reading a letter.	Je suis en train de lire une lettre.
I am shorter than you.	Je suis plus petit que toi.
I am shorter than you.	Je suis plus petite que vous.
I am shorter than you.	Je suis plus petit que vous.
I am talking with Tom.	Je parle avec Tom.
I am tired of reading.	Je suis fatigué de lire.
I am too tired to run.	Je suis trop fatigué pour courir.
I am totally confused.	Je suis complètement confus.
I am totally confused.	Je suis complètement confuse.
I am writing a letter.	J'écris une lettre.
I'm a big fan of golf.	J'adore le golf.
I'm a biology student.	Je suis étudiant en biologie.
I'm a biology student.	Je suis étudiante en biologie.
I'm a college student.	Je suis étudiant.
I'm a football player.	Je suis un joueur de foot.
I'm a little bit busy.	Je suis un peu occupé.
I'm a little bit busy.	Je suis un peu occupée.
I'm a little confused.	Je suis un peu perplexe.
I'm a little confused.	Je suis un peu désorienté.
I'm a married man now.	Je suis un homme marié maintenant.
I'm a terrible dancer.	Je suis un piètre danseur.
I'm a terrible writer.	Je suis un épouvantable écrivain.
I'm a very shy person.	Je suis une personne très timide.
I'm afraid of heights.	Je souffre de vertige.
I'm afraid of my boss.	J'ai peur de mon patron.
I'm afraid of my boss.	J'ai peur de mon chef.
I'm afraid of nothing.	Je n'ai peur de rien.
I'm afraid of spiders.	J'ai peur des araignées.
I'm all out of tricks.	Je suis à court d'expédients.
I'm almost sure of it.	J'en suis presque sûr.
I'm almost sure of it.	J'en suis presque sûre.
I'm ashamed of myself.	J'ai honte de moi-même.
I'm at the restaurant.	Je suis au restaurant.
I'm aware of all that.	Je suis conscient de tout cela.
I'm being blackmailed.	On me fait chanter.
I'm busy all the time.	Je suis toujours occupé.
I'm coming right away.	J'arrive tout de suite.
I'm coming right away.	J'arrive immédiatement.
I'm coming right home.	J'arrive juste chez moi.
I'm coming right home.	J'arrive juste chez nous.
I'm doing my homework.	Je fais mes devoirs.
I'm doing my homework.	Je suis en train de faire mes devoirs.
I'm doing pretty well.	Je vais assez bien.
I'm doing you a favor.	Je te fais une faveur.
I'm doing you a favor.	Je vous fais une faveur.
I'm dreading the exam.	Je crains l'examen.
I'm dreading the exam.	Je redoute l'examen.
I'm dreading the exam.	J'appréhende l'examen.
I'm eating a sandwich.	Je mange un sandwich.
I'm failing at my job.	J'échoue dans mon travail.
I'm finished with you.	J'en ai fini avec toi.
I'm finished with you.	J'en ai fini avec vous.
I'm from Tokyo, Japan.	Je viens de Tokyo, Japon.
I'm getting undressed.	Je me déshabille.
I'm glad I could help.	Je suis heureux d'avoir pu vous aider.
I'm glad to hear that.	Je suis heureux d'entendre cela.
I'm glad to hear that.	C'est bien.
I'm glad to hear that.	Je me réjouis de l'entendre.
I'm glad you liked it.	Je suis heureux que tu l'aies aimé.
I'm glad you liked it.	Je suis heureux que tu l'aies apprécié.
I'm glad you liked it.	Je suis heureuse que tu l'aies apprécié.
I'm glad you liked it.	Je suis heureux que vous l'ayez apprécié.
I'm glad you liked it.	Je suis heureuse que vous l'ayez apprécié.
I'm glad you're early.	Je suis content que tu sois en avance.
I'm glad you're early.	Je suis contente que vous soyez en avance.
I'm going back inside.	Je retourne à l'intérieur.
I'm going there alone.	J’y vais seul.
I'm going there today.	J'y vais aujourd'hui.
I'm going to be on TV.	Je vais passer à la télévision.
I'm going to hurt you.	Je vais te blesser.
I'm going to miss you.	Tu vas me manquer.
I'm going to miss you.	Vous allez me manquer.
I'm going to need you.	Je vais avoir besoin de toi.
I'm going to need you.	Je vais avoir besoin de vous.
I'm going to the bank.	Je vais à la banque.
I'm going to watch TV.	Je vais regarder la télé.
I'm happy you're here.	Je suis heureux que tu sois là.
I'm happy you're here.	Je suis heureuse que tu sois là.
I'm happy you're here.	Je suis heureux que vous soyez là.
I'm happy you're here.	Je suis heureuse que vous soyez là.
I'm here all the time.	Je suis là tout le temps.
I'm here as a tourist.	Je suis ici en tant que touriste.
I'm here to apologize.	Je suis ici pour présenter mes excuses.
I'm home all the time.	Je suis à la maison tout le temps.
I'm in love with Mary.	Je suis amoureux de Mary.
I'm joking, of course.	Je plaisante, bien sûr.
I'm just a normal guy.	Je suis juste un type normal.
I'm just being honest.	Je suis simplement franc.
I'm just being honest.	Je suis simplement franche.
I'm just doing my job.	Je ne fais que mon travail.
I'm just killing time.	Je tue simplement le temps.
I'm kind of surprised.	Je suis un peu surpris.
I'm late for practice.	Je suis en retard pour l'entraînement.
I'm leaving it to you.	Je te le laisse.
I'm leaving it to you.	Je vous laisse ça.
I'm leaving on Monday.	Je pars lundi.
I'm leaving on Sunday.	Je pars dimanche.
I'm looking for a job.	Je cherche du travail.
I'm looking for a job.	Je cherche un emploi.
I'm not a disbeliever.	Je ne suis pas incroyant.
I'm not a drug addict.	Je ne suis pas un drogué.
I'm not a drug addict.	Je ne suis pas une droguée.
I'm not a drug addict.	Je ne suis pas un toxico.
I'm not a drug addict.	Je ne suis pas une toxico.
I'm not a kid anymore.	Je ne suis plus un enfant.
I'm not a millionaire.	Je ne suis pas millionnaire.
I'm not a patient man.	Je ne suis pas un homme patient.
I'm not afraid at all.	Je n'ai absolument pas peur.
I'm not afraid of you.	Je n'ai pas peur de vous.
I'm not afraid to die.	Je n'ai pas peur de mourir.
I'm not afraid to try.	Je n'ai pas peur d'essayer.
I'm not all that busy.	Je ne suis pas si occupé que ça.
I'm not all that busy.	Je ne suis pas si occupée que ça.
I'm not an only child.	Je ne suis pas un enfant unique.
I'm not an only child.	Je ne suis pas une enfant unique.
I'm not angry anymore.	Je n'ai plus faim.
I'm not at all afraid.	Je n'ai pas peur du tout.
I'm not at all hungry.	Je n'ai pas faim du tout.
I'm not done with you.	Je n'en ai pas fini avec toi.
I'm not done with you.	Je n'en ai pas fini avec vous.
I'm not done with you.	Moi je n'en ai pas fini avec toi.
I'm not done with you.	Moi je n'en ai pas fini avec vous.
I'm not entirely sure.	Je ne suis pas entièrement sûr.
I'm not entirely sure.	Je ne suis pas entièrement sûre.
I'm not entirely sure.	Je n'en suis pas entièrement sûr.
I'm not entirely sure.	Je n'en suis pas entièrement sûre.
I'm not following you.	Je ne te suis pas.
I'm not giving up yet.	Je ne vais pas encore abandonner.
I'm not going outside.	Je ne sors pas.
I'm not going to look.	Je ne vais pas regarder.
I'm not going to lose.	Je ne vais pas perdre.
I'm not going to stop.	Je ne vais pas m'arrêter.
I'm not going to talk.	Je ne vais pas discuter.
I'm not going to wait.	Je ne vais pas attendre.
I'm not going to work.	Je ne vais pas travailler.
I'm not here to fight.	Je ne suis pas là pour me bagarrer.
I'm not here to fight.	Je ne suis pas là pour me battre.
I'm not hungry anyway.	Je n'ai pas faim, de toutes manières.
I'm not hungry at all.	Je n'ai pas faim du tout.
I'm not hungry either.	Je n'ai pas faim non plus.
I'm not in any danger.	Je ne cours pas le moindre danger.
I'm not in good shape.	Je ne suis pas en forme.
I'm not narrow-minded.	Je ne suis pas étroit d'esprit.
I'm not narrow-minded.	Je ne suis pas étroite d'esprit.
I'm not on duty today.	Je ne suis pas en service aujourd'hui.
I'm not one to gossip.	Je ne suis pas une commère.
I'm not proud of that.	Je n'en suis pas fier.
I'm not proud of that.	Je n'en suis pas fière.
I'm not really hungry.	Je n'ai pas vraiment faim.
I'm not satisfied yet.	Je ne suis toujours pas satisfait.
I'm not scared to die.	Je ne crains pas de mourir.
I'm not sleeping well.	Je ne dors pas bien.
I'm not sure about it.	Je n'en suis pas sûr.
I'm not sure about it.	Je n'en suis pas sûre.
I'm not that gullible.	Je ne suis pas si crédule.
I'm not too convinced.	Je n'en suis pas trop convaincu.
I'm not too convinced.	Je n'en suis pas trop convaincue.
I'm not too surprised.	Je ne suis pas trop étonné.
I'm not uncomfortable.	Je ne me sens pas mal à l'aise.
I'm not unsympathetic.	Je n'y suis pas hostile.
I'm not very athletic.	Je ne suis pas très athlétique.
I'm not wearing socks.	Je ne porte pas de chaussettes.
I'm not young anymore.	Je ne suis plus tout jeune.
I'm not young anymore.	Je ne suis plus toute jeune.
I'm not your daughter.	Je ne suis pas ta fille.
I'm not your daughter.	Je ne suis pas votre fille.
I'm on my lunch break.	Je suis en pause déjeuner.
I'm on my way to work.	Je suis sur le chemin du travail.
I'm on my way to work.	Je suis en chemin pour mon travail.
I'm out of place here.	Je ne suis pas à ma place, ici.
I'm playing a TV game.	Je joue à un jeu télévisé.
I'm playing a TV game.	Je joue à un jeu sur console.
I'm proud of you guys.	Je suis fier de vous, les mecs.
I'm proud of you guys.	Je suis fier de vous, les gars.
I'm proud of you guys.	Je suis fière de vous, les mecs.
I'm rarely this angry.	Je suis rarement autant en colère.
